# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: memije01
# Property: Website
# ----------------------------------------
# 
# All Users
# Start date: 20260224
# End date: 20260323
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/lab06-memije01/questionnaire.html,8,4,2,16,17,0,0
/lab06-memije01/,6,5,1.2,2.8,20,0,0
/lab06-memije01/data.html,1,1,1,0,2,0,0
